Entity,Day,Total confirmed deaths due to COVID-19 per million people
Africa,2020-01-04,0
Africa,2020-01-05,0
Africa,2020-01-06,0
Africa,2020-01-07,0
Africa,2020-01-08,0
Africa,2020-01-09,0
Africa,2020-01-10,0
Africa,2020-01-11,0
Africa,2020-01-12,0
Africa,2020-01-13,0
Africa,2020-01-14,0
Africa,2020-01-15,0
Africa,2020-01-16,0
Africa,2020-01-17,0
Africa,2020-01-18,0
Africa,2020-01-19,0
Africa,2020-01-20,0
Africa,2020-01-21,0
Africa,2020-01-22,0
Africa,2020-01-23,0
Africa,2020-01-24,0
Africa,2020-01-25,0
Africa,2020-01-26,0
Africa,2020-01-27,0
Africa,2020-01-28,0
Africa,2020-01-29,0
Africa,2020-01-30,0
Africa,2020-01-31,0
Africa,2020-02-01,0
Africa,2020-02-02,0
Africa,2020-02-03,0
Africa,2020-02-04,0
Africa,2020-02-05,0
Africa,2020-02-06,0
Africa,2020-02-07,0
Africa,2020-02-08,0
Africa,2020-02-09,0
Africa,2020-02-10,0
Africa,2020-02-11,0
Africa,2020-02-12,0
Africa,2020-02-13,0
Africa,2020-02-14,0
Africa,2020-02-15,0
Africa,2020-02-16,0
Africa,2020-02-17,0
Africa,2020-02-18,0
Africa,2020-02-19,0
Africa,2020-02-20,0
Africa,2020-02-21,0
Africa,2020-02-22,0
Africa,2020-02-23,0
Africa,2020-02-24,0
Africa,2020-02-25,0
Africa,2020-02-26,0
Africa,2020-02-27,0
Africa,2020-02-28,0
Africa,2020-02-29,0
Africa,2020-03-01,0
Africa,2020-03-02,0
Africa,2020-03-03,0
Africa,2020-03-04,0
Africa,2020-03-05,0.0035312797
Africa,2020-03-06,0.0035312797
Africa,2020-03-07,0.0035312797
Africa,2020-03-08,0.0035312797
Africa,2020-03-09,0.004237536
Africa,2020-03-10,0.004237536
Africa,2020-03-11,0.004237536
Africa,2020-03-12,0.004237536
Africa,2020-03-13,0.0056500477
Africa,2020-03-14,0.0063563036
Africa,2020-03-15,0.0063563036
Africa,2020-03-16,0.0063563036
Africa,2020-03-17,0.0077688154
Africa,2020-03-18,0.009887584
Africa,2020-03-19,0.010593839
Africa,2020-03-20,0.011300095
Africa,2020-03-21,0.014831374
Africa,2020-03-22,0.01906891
Africa,2020-03-23,0.026837725
Africa,2020-03-24,0.031075262
Africa,2020-03-25,0.036019053
Africa,2020-03-26,0.039550334
Africa,2020-03-27,0.04873166
Africa,2020-03-28,0.070625596
Africa,2020-03-29,0.098875836
Africa,2020-03-30,0.10452588
Africa,2020-03-31,0.2260019
Africa,2020-04-01,0.28462115
Africa,2020-04-02,0.30863383
Africa,2020-04-03,0.33900285
Africa,2020-04-04,0.37290314
Africa,2020-04-05,0.40609717
Africa,2020-04-06,0.44140998
Africa,2020-04-07,0.4696602
Africa,2020-04-08,0.502148
Africa,2020-04-09,0.5254544
Africa,2020-04-10,0.562886
Africa,2020-04-11,0.60808635
Africa,2020-04-12,0.6561118
Africa,2020-04-13,0.6956621
Africa,2020-04-14,0.7309749
Africa,2020-04-15,0.9025951
Africa,2020-04-16,0.9251953
Africa,2020-04-17,0.9619206
Africa,2020-04-18,0.9958209
Africa,2020-04-19,1.0360775
Africa,2020-04-20,1.0636214
Africa,2020-04-21,1.0911654
Africa,2020-04-22,1.1151781
Africa,2020-04-23,1.1455472
Africa,2020-04-24,1.1829787
Africa,2020-04-25,1.208404
Africa,2020-04-26,1.2359478
Africa,2020-04-27,1.2663169
Africa,2020-04-28,1.3016297
Africa,2020-04-29,1.3348237
Africa,2020-04-30,1.3821429
Africa,2020-05-01,1.4167495
Africa,2020-05-02,1.459831
Africa,2020-05-03,1.5078565
Africa,2020-05-04,1.5318692
Africa,2020-05-05,1.5996697
Africa,2020-05-06,1.642045
Africa,2020-05-07,1.6780641
Africa,2020-05-08,1.7232645
Africa,2020-05-09,1.779765
Africa,2020-05-10,1.8235528
Africa,2020-05-11,1.8666345
Africa,2020-05-12,1.9075973
Africa,2020-05-13,1.9513851
Africa,2020-05-14,2.0001168
Africa,2020-05-15,2.0537922
Africa,2020-05-16,2.096874
Africa,2020-05-17,2.147018
Africa,2020-05-18,2.188687
Africa,2020-05-19,2.2345939
Africa,2020-05-20,2.2861505
Africa,2020-05-21,2.362426
Africa,2020-05-22,2.419633
Africa,2020-05-23,2.4782522
Africa,2020-05-24,2.5262775
Africa,2020-05-25,2.599022
Africa,2020-05-26,2.6922476
Africa,2020-05-27,2.773467
Africa,2020-05-28,2.8349113
Africa,2020-05-29,2.8970618
Africa,2020-05-30,2.993819
Africa,2020-05-31,3.0955198
Africa,2020-06-01,3.200752
Africa,2020-06-02,3.3702533
Africa,2020-06-03,3.545405
Africa,2020-06-04,3.675356
Africa,2020-06-05,3.8886452
Africa,2020-06-06,4.0793343
Africa,2020-06-07,4.2784986
Africa,2020-06-08,4.410568
Africa,2020-06-09,4.5546446
Africa,2020-06-10,4.737565
Africa,2020-06-11,4.8604536
Africa,2020-06-12,5.0271297
Africa,2020-06-13,5.214994
Africa,2020-06-14,5.361895
Africa,2020-06-15,5.51374
Africa,2020-06-16,5.7270293
Africa,2020-06-17,5.9516187
Africa,2020-06-18,6.117589
Africa,2020-06-19,6.363366
Africa,2020-06-20,6.633156
Africa,2020-06-21,6.8556266
